,_id,productAsin,username,ratingScore,reviewSummary,reviewUrl,reviewReaction,reviewedIn,date,country,countryCode,reviewDescription,isVerified,avatar,variant,reviewImages,position
58,64b56e29538101a3ad9602e3,B002Q5JE2C,"Best product ever, good results in one week ... amazing product, will definitely buy it again",5,Best face wash,https://www.amazon.in/gp/customer-reviews/R2N2NM84CMBAH0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B002Q5JE2C,,Reviewed in India 🇮🇳 on 12 May 2023,2023-05-12,India,🇮🇳,"I am using it for a very long time. It's best in summer as well as in winter. Also, it protects you from pimples. I think it's for every skin type.",True,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Size: 400ml (Pack of 2)Style Name: Pack of 2,[],89
59,64b56e29538101a3ad9602e4,B002Q5JE2C,Shivani,5,Good,https://www.amazon.in/gp/customer-reviews/R3BKUASKVQXY0P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B002Q5JE2C,,Reviewed in India 🇮🇳 on 25 May 2023,2023-05-25,India,🇮🇳,Using it from 5yrs,True,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Size: 300 ml (Pack of 1)Style Name: 300ml,[],90
60,64b56e29538101a3ad9602e5,B002Q5JE2C,Good ❤️,5,Good,https://www.amazon.in/gp/customer-reviews/R2W2ASQ5S5A2KZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B002Q5JE2C,,Reviewed in India on 5 June 2023,2023-06-05,India,,All time favourite,True,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Size: 400 ml (Pack of 1)Style Name: 400ml,[],71
61,64b56e29538101a3ad9602e6,B002Q5JE2C,Mouli,5,It is very fresh,https://www.amazon.in/gp/customer-reviews/R3ILKCUL37OPGY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B002Q5JE2C,,Reviewed in India on 4 June 2023,2023-06-04,India,,It is very good👍,True,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Size: 200 ml (Pack of 1)Style Name: Pack of 1,[],72
62,64b56e29538101a3ad9602e7,B002Q5JE2C,Mojaffar,5,Kub valo,https://www.amazon.in/gp/customer-reviews/R3IUG27MYBCX1O/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B002Q5JE2C,,Reviewed in India on 4 June 2023,2023-06-04,India,,Kub valo,True,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Size: 400 ml (Pack of 1)Style Name: 400ml,[],73
63,64b56e29538101a3ad9602e8,B002Q5JE2C,bareilly wala,5,Fresh cleaning,https://www.amazon.in/gp/customer-reviews/R3H5FKP3A545PQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B002Q5JE2C,,Reviewed in India on 15 June 2023,2023-06-15,India,,Must buy,True,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Size: 400 ml (Pack of 1)Style Name: 400ml,[],74
64,64b56e29538101a3ad9602e9,B002Q5JE2C,GJM,5,Have been using this product since a long time,https://www.amazon.in/gp/customer-reviews/RJ1WBAQV0TH2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B002Q5JE2C,,Reviewed in India on 7 June 2023,2023-06-07,India,,Good,True,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Size: 400 ml (Pack of 1)Style Name: 400ml,[],75
65,64b56e29538101a3ad9602ea,B002Q5JE2C,Sushmita jha,5,best product 👌,https://www.amazon.in/gp/customer-reviews/R2P59RF6FW32VT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B002Q5JE2C,,Reviewed in India on 2 June 2023,2023-06-02,India,,if you have acne prone skin then this face wash is perfect for you with the lowest price I love this face wash. and I give this rate 10/10,True,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Size: 400 ml (Pack of 1)Style Name: 400ml,[],76
66,64b56e29538101a3ad9602eb,B002Q5JE2C,Prince PandeyPrince Pandey,5,Great purchase!!!,https://www.amazon.in/gp/customer-reviews/R2PNESWZ97FSVJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B002Q5JE2C,,Reviewed in India on 31 May 2023,2023-05-31,India,,Loved this product,True,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Size: 400 ml (Pack of 1)Style Name: 400ml,['https://m.media-amazon.com/images/I/71UdGCt67NL._SY88.jpg'],77
67,64b56e29538101a3ad9602ec,B002Q5JE2C,Devender Kumar Bhaskar,5,Awesome 👍,https://www.amazon.in/gp/customer-reviews/RO5681XERW01Q/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B002Q5JE2C,,Reviewed in India on 2 June 2023,2023-06-02,India,,Thanks Amazon ❤️,True,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Size: 400ml (Pack of 2)Style Name: Pack of 2,[],78
